Muhammad Abduh,Jamal ad-Din al-Afghani
Daniel Dennett,David Hume
Daniel Dennett,William James
Daniel Dennett,Friedrich Nietzsche
Daniel Dennett,Noam Chomsky
Richard Dawkins,Daniel Dennett
Sam Harris,Daniel Dennett
Douglas Hofstadter,Daniel Dennett
Geoffrey Miller (evolutionary psychologist),Daniel Dennett
Jacques Derrida,Plato
Jacques Derrida,James Joyce
Jacques Derrida,Friedrich Nietzsche
Jacques Derrida,Ferdinand de Saussure
Jacques Derrida,Martin Heidegger
Jacques Derrida,Emmanuel Levinas
Jacques Derrida,Sigmund Freud
Jacques Derrida,Edmund Husserl
Jacques Derrida,Jean-Jacques Rousseau
Jacques Derrida,Karl Marx
Jacques Derrida,Claude L\xc3\xa9vi-Strauss
Jacques Derrida,Maurice Blanchot
Jacques Derrida,Kierkegaard
Jacques Derrida,Hegel
Jacques Derrida,Jean Genet
Jacques Derrida,Franz Kafka
Gayatri Chakravorty Spivak,Jacques Derrida
Paul de Man,Jacques Derrida
Philippe Lacoue-Labarthe,Jacques Derrida
Geoffrey Hartman,Jacques Derrida
John D. Caputo,Jacques Derrida
Catherine Malabou,Jacques Derrida
Bernard Stiegler,Jacques Derrida
Peter Rollins,Jacques Derrida
Descartes,Plato
Descartes,Aristotle
Descartes,Archimedes
Descartes,Ibn al-Haytham
Descartes,Al-Ghazali
Descartes,Averroes
Descartes,Avicenna
Descartes,Anselm of Canterbury
Descartes,Augustine of Hippo
Descartes,Stoics
Descartes,Thomas Aquinas
Descartes,William of Ockham
Descartes,Francisco Su\xc3\xa1rez
Descartes,Marin Mersenne
Descartes,Sextus Empiricus
Descartes,Michel de Montaigne
Descartes,Jacobus Golius
Descartes,Isaac Beeckman
Descartes,William Harvey
Descartes,Fran\xc3\xa7ois Vi\xc3\xa8te
Descartes,Duns Scotus
Descartes,Teresa of \xc3\x81vila
Western philosophy,Descartes
Spinoza,Descartes
Leibniz,Descartes
John Locke,Descartes
Nicolas Malebranche,Descartes
Jacques-B\xc3\xa9nigne Bossuet,Descartes
Blaise Pascal,Descartes
Isaac Newton,Descartes
Immanuel Kant,Descartes
Johann Gottlieb Fichte,Descartes
Edmund Husserl,Descartes
Noam Chomsky,Descartes
Slavoj Zizek,Descartes
David Chalmers,Descartes
John Dewey,Plato
John Dewey,John Locke
John Dewey,Jean-Jacques Rousseau
John Dewey,Immanuel Kant
John Dewey,Hegel
John Dewey,Charles Darwin
John Dewey,Charles Sanders Peirce
John Dewey,William James
John Dewey,George Trumbull Ladd
John Dewey,George Herbert Mead
John Dewey,Henry George
John Dewey,Lester F. Ward
John Dewey,Wilhelm Wundt
John Dewey,Francis Wayland Parker
Thorstein Veblen,John Dewey
B.R. Ambedkar,John Dewey
George Santayana,John Dewey
Everett Dean Martin,John Dewey
Mordecai Kaplan,John Dewey
Hu Shih,John Dewey
Sidney Hook,John Dewey
Maxine Greene,John Dewey
Richard McKeon,John Dewey
Margaret Naumburg,John Dewey
Hilary Putnam,John Dewey
Noam Chomsky,John Dewey
J\xc3\xbcrgen Habermas,John Dewey
Richard Rorty,John Dewey
Cornel West,John Dewey
Robert E. Park,John Dewey
\xc3\x89mile Durkheim,John Dewey
Herbert Schneider (philosopher),John Dewey
Denis Diderot,Aristotle
Denis Diderot,Baruch Spinoza
Denis Diderot,John Locke
Denis Diderot,Voltaire
Denis Diderot,Miguel de Cervantes
Denis Diderot,Laurence Sterne
Denis Diderot,Niccol\xc3\xb2 Machiavelli
Denis Diderot,Samuel Richardson
Denis Diderot,Isaac Newton
Denis Diderot,Lucretius
Denis Diderot,Descartes
Fran\xc3\xa7ois-No\xc3\xabl Babeuf,Denis Diderot
\xc3\x89tienne Bonnot de Condillac,Denis Diderot
Baron d\'Holbach,Denis Diderot
Johann Wolfgang von Goethe,Denis Diderot
Auguste Comte,Denis Diderot
Milan Kundera,Denis Diderot
G\xc3\xbcnter Grass,Denis Diderot
Jacques Barzun,Denis Diderot
Karl Marx,Denis Diderot
Wilhelm Dilthey,Immanuel Kant
Wilhelm Dilthey,Friedrich Schleiermacher
Wilhelm Dilthey,German Romanticism
Wilhelm Dilthey,August B\xc3\xb6ckh
Wilhelm Dilthey,Johann Gustav Droysen
Wilhelm Dilthey,Hegel
Wilhelm Dilthey,Johann Gottfried Herder
Wilhelm Dilthey,Friedrich Adolf Trendelenburg
Georg Simmel,Wilhelm Dilthey
Max Weber,Wilhelm Dilthey
Karl Jaspers,Wilhelm Dilthey
Martin Heidegger,Wilhelm Dilthey
Hans-Georg Gadamer,Wilhelm Dilthey
J\xc3\xbcrgen Habermas,Wilhelm Dilthey
Franz Boas,Wilhelm Dilthey
Rudolf Steiner,Wilhelm Dilthey
R. G. Collingwood,Wilhelm Dilthey
Jos\xc3\xa9 Ortega y Gasset,Wilhelm Dilthey
Diogenes,Antisthenes
Diogenes,Socrates
Crates of Thebes,Diogenes
Cynicism (philosophy),Diogenes
Stoics,Diogenes
Han Ryner,Diogenes
Michel Onfray,Diogenes
Kierkegaard,Diogenes
Eduard Hitzig,Emil du Bois-Reymond
Roderick Chisholm,Curt John Ducasse
Wilfrid Sellars,Curt John Ducasse
Pierre Duhem,William John Macquorn Rankine
Pierre Duhem,Josiah Willard Gibbs
Pierre Duhem,Ernst Mach
Pierre Duhem,Blaise Pascal
\xc3\x89mile Jouguet,Pierre Duhem
John Worrall (philosopher),Pierre Duhem
Thomas Kuhn,Pierre Duhem
Stanley Jaki,Pierre Duhem
Stephen Menn,Pierre Duhem
Michael Dummett,Gottlob Frege
Michael Dummett,Peter Geach
Michael Dummett,G. E. M. Anscombe
Michael Dummett,Ludwig Wittgenstein
Michael Dummett,Gilbert Ryle
Michael Dummett,L. E. J. Brouwer
Michael Dummett,Donald Davidson (philosopher)
Gareth Evans (philosopher),Michael Dummett
Crispin Wright,Michael Dummett
Christopher Peacocke,Michael Dummett
Timothy Williamson,Michael Dummett
Ian Rumfitt,Michael Dummett
Luciano Floridi,Michael Dummett
Carlo Penco,Michael Dummett
Hans Sluga,Michael Dummett
Barry Smith (academic),Michael Dummett
Duns Scotus,Aristotle
Duns Scotus,Augustine of Hippo
Duns Scotus,Anselm of Canterbury
Duns Scotus,Thomas Aquinas
Duns Scotus,Henry of Ghent
Antonius Andreas,Duns Scotus
Henry Harclay,Duns Scotus
Thomas Wilton,Duns Scotus
William of Ockham,Duns Scotus
Descartes,Duns Scotus
Alvin Plantinga,Duns Scotus
M\xc3\xa1rio Ferreira dos Santos,Duns Scotus
Martin Heidegger,Duns Scotus
Hannah Arendt,Duns Scotus
Gilles Deleuze,Duns Scotus
Charles Sanders Peirce,Duns Scotus
Gerard Manley Hopkins,Duns Scotus
\xc3\x89mile Durkheim,Immanuel Kant
\xc3\x89mile Durkheim,Descartes
\xc3\x89mile Durkheim,Plato
\xc3\x89mile Durkheim,Herbert Spencer
\xc3\x89mile Durkheim,Aristotle
\xc3\x89mile Durkheim,Montesquieu
\xc3\x89mile Durkheim,Jean-Jacques Rousseau
\xc3\x89mile Durkheim,Auguste Comte
\xc3\x89mile Durkheim,William James
\xc3\x89mile Durkheim,John Dewey
\xc3\x89mile Durkheim,Fustel de Coulanges
\xc3\x89mile Durkheim,John Stuart Mill
Marcel Mauss,\xc3\x89mile Durkheim
Claude L\xc3\xa9vi-Strauss,\xc3\x89mile Durkheim
Talcott Parsons,\xc3\x89mile Durkheim
Maurice Halbwachs,\xc3\x89mile Durkheim
Lucien L\xc3\xa9vy-Bruhl,\xc3\x89mile Durkheim
Bronis\xc5\x82aw Malinowski,\xc3\x89mile Durkheim
Fernand Braudel,\xc3\x89mile Durkheim
Pierre Bourdieu,\xc3\x89mile Durkheim
Charles Taylor (philosopher),\xc3\x89mile Durkheim
Henri Bergson,\xc3\x89mile Durkheim
Emmanuel Levinas,\xc3\x89mile Durkheim
Steven Lukes,\xc3\x89mile Durkheim
Alfred Radcliffe-Brown,\xc3\x89mile Durkheim
E. E. Evans-Pritchard,\xc3\x89mile Durkheim
Mary Douglas,\xc3\x89mile Durkheim
Paul Fauconnet,\xc3\x89mile Durkheim
Robert Bellah,\xc3\x89mile Durkheim
Ziya G\xc3\xb6kalp,\xc3\x89mile Durkheim
David Bloor,\xc3\x89mile Durkheim
Randall Collins,\xc3\x89mile Durkheim
Jonathan Haidt,\xc3\x89mile Durkheim
Ronald Dworkin,Rupert Cross
Ronald Dworkin,Learned Hand
Ronald Dworkin,H. L. A. Hart
Ronald Dworkin,John Rawls
Robert Alexy,Ronald Dworkin
Jeremy Waldron,Ronald Dworkin
Meister Eckhart,Pseudo-Dionysius
Meister Eckhart,Proclus
Meister Eckhart,Thomas Aquinas
Meister Eckhart,Johannes Scottus Eriugena
Meister Eckhart,Augustine of Hippo
John Tauler,Meister Eckhart
Henry Suso,Meister Eckhart
Nicholas of Cusa,Meister Eckhart
Eckhart Tolle,Meister Eckhart
Gustav Landauer,Meister Eckhart
Heidegger,Meister Eckhart
Matthew Fox,Meister Eckhart
Carl Gustav Jung,Meister Eckhart
Christian von Ehrenfels,Franz Brentano
Christian von Ehrenfels,Ernst Mach
Christian von Ehrenfels,Alexius Meinong
Felix Weltsch,Christian von Ehrenfels
George Stout,Christian von Ehrenfels
Ernst G. Straus,Albert Einstein
Nathan Rosen,Albert Einstein
Le\xc3\xb3 Szil\xc3\xa1rd,Albert Einstein
Ralph Waldo Emerson,Emanuel Swedenborg
Ralph Waldo Emerson,Thomas Carlyle
Ralph Waldo Emerson,Samuel Taylor Coleridge
Ralph Waldo Emerson,Thomas Jefferson
Ralph Waldo Emerson,Victor Cousin
Harold Bloom,Ralph Waldo Emerson
Jorge Luis Borges,Ralph Waldo Emerson
William James,Ralph Waldo Emerson
John Muir,Ralph Waldo Emerson
Friedrich Nietzsche,Ralph Waldo Emerson
Henry David Thoreau,Ralph Waldo Emerson
Walt Whitman,Ralph Waldo Emerson
Empedocles,Parmenides
Empedocles,Pythagoreanism
Gorgias,Empedocles
Aristotle,Empedocles
Lucretius,Empedocles
Friedrich Nietzsche,Empedocles
Friedrich Engels,Hegel
Friedrich Engels,Ludwig Feuerbach
Friedrich Engels,Max Stirner
Friedrich Engels,Adam Smith
Friedrich Engels,David Ricardo
Friedrich Engels,Karl Marx
Friedrich Engels,Jean-Jacques Rousseau
Friedrich Engels,Goethe
Friedrich Engels,Charles Fourier
Friedrich Engels,Moses Hess
Friedrich Engels,Lewis H. Morgan
Friedrich Engels,Heraclitus
List of Marxists,Friedrich Engels
Epictetus,Gaius Musonius Rufus
Epictetus,Socrates
Epictetus,Diogenes of Sinope
Epictetus,Zeno of Citium
Epictetus,Cleanthes
Epictetus,Chrysippus
Epictetus,Hippocrates
Arrian,Epictetus
Junius Rusticus,Epictetus
Marcus Aurelius,Epictetus
Albert Ellis,Epictetus
Han Ryner,Epictetus
James Stockdale,Epictetus
Epicurus,Democritus
Epicurus,Pyrrho
Seneca the Younger,Epicurus
Hermarchus,Epicurus
Lucretius,Epicurus
Thomas Hobbes,Epicurus
Immanuel Kant,Epicurus
Jeremy Bentham,Epicurus
John Stuart Mill,Epicurus
Thomas Jefferson,Epicurus
Friedrich Nietzsche,Epicurus
Karl Marx,Epicurus
Charles Darwin,Epicurus
Sigmund Freud,Epicurus
Michel Onfray,Epicurus
Hadrian,Epicurus
Metrodorus of Lampsacus (the younger),Epicurus
David Hume,Epicurus
Philodemus,Epicurus
Amafinius,Epicurus
Catius,Epicurus
Michel Foucault,Epicurus
Pierre Gassendi,Epicurus
Han Ryner,Epicurus
Erasmus,Epicureanism
Erasmus,Cicero
Erasmus,Giovanni Pico della Mirandola
Erasmus,John Colet
Erasmus,Alexander Hegius
Erasmus,Jan Standonck
Thomas More,Erasmus
Dami\xc3\xa3o de G\xc3\xb3is,Erasmus
Martin Luther,Erasmus
William Tyndale,Erasmus
Jacob Milich,Erasmus
Wolfgang Capito,Erasmus
John Colet,Erasmus
John Scotus Eriugena,Plato
John Scotus Eriugena,Augustine of Hippo
John Scotus Eriugena,Cappadocian Fathers
John Scotus Eriugena,Pseudo-Dionysius
John Scotus Eriugena,Maximus the Confessor
John Scotus Eriugena,Anicius Manlius Severinus Boethius
Berengar of Tours,John Scotus Eriugena
School of Chartres,John Scotus Eriugena
Honorius Augustodunensis,John Scotus Eriugena
Hildegard of Bingen,John Scotus Eriugena
Israel the Grammarian,John Scotus Eriugena
Amaury of Bene,John Scotus Eriugena
Alain de Lille,John Scotus Eriugena
Peter Damian,John Scotus Eriugena
Thomas Aquinas,John Scotus Eriugena
Nicholas of Cusa,John Scotus Eriugena
Hegel,John Scotus Eriugena
Rudolf Christoph Eucken,Aristotle
Rudolf Christoph Eucken,Thomas Aquinas
Rudolf Christoph Eucken,Gustav Teichm\xc3\xbcller
Rudolf Christoph Eucken,Hermann Lotze
Rudolf Christoph Eucken,Friedrich Adolf Trendelenburg
Max Scheler,Rudolf Christoph Eucken
W. R. Boyce Gibson,Rudolf Christoph Eucken
Abel J. Jones,Rudolf Christoph Eucken
Evelyn Underhill,Rudolf Christoph Eucken
Frantz Fanon,Karl Marx
Frantz Fanon,Aim\xc3\xa9 C\xc3\xa9saire
Frantz Fanon,N\xc3\xa9gritude
Frantz Fanon,Hegel
Frantz Fanon,Gy\xc3\xb6rgy Luk\xc3\xa1cs
Frantz Fanon,Sigmund Freud
Frantz Fanon,Carl Gustav Jung
Frantz Fanon,Jean-Paul Sartre
Frantz Fanon,Chester Himes
Frantz Fanon,Alfred Adler
Frantz Fanon,Max Weber
Edward Said,Frantz Fanon
Ngugi wa Thiong\'o,Frantz Fanon
Achille Mbembe,Frantz Fanon
\xc3\x89douard Glissant,Frantz Fanon
Ali Shariati,Frantz Fanon
Steve Biko,Frantz Fanon
Malcolm X,Frantz Fanon
Che Guevara,Frantz Fanon
Paulo Freire,Frantz Fanon
Huey P. Newton,Frantz Fanon
Bobby Seale,Frantz Fanon
Slavoj Zizek,Frantz Fanon
Lewis Gordon,Frantz Fanon
Al-Farabi,Aristotle
Al-Farabi,Plato
Al-Farabi,Porphyry (philosopher)
Al-Farabi,Ptolemy
Al-Farabi,Al-Kindi
Aristotle,Al-Farabi
Plato,Al-Farabi
Porphyry (philosopher),Al-Farabi
Ptolemy,Al-Farabi
Al-Kindi,Al-Farabi
Gerardus Heymans,Gustav Fechner
Wilhelm Wundt,Gustav Fechner
William James,Gustav Fechner
Alfred North Whitehead,Gustav Fechner
Charles Hartshorne,Gustav Fechner
Ernst Heinrich Weber,Gustav Fechner
Dugald Stewart,Adam Ferguson
Ludwig Feuerbach,Hegel
Ludwig Feuerbach,Karl Daub
Ludwig Feuerbach,Friedrich Schleiermacher
Ludwig Feuerbach,Friedrich Heinrich Jacobi
Karl Marx,Ludwig Feuerbach
Friedrich Engels,Ludwig Feuerbach
Max Stirner,Ludwig Feuerbach
Friedrich Nietzsche,Ludwig Feuerbach
Martin Buber,Ludwig Feuerbach
Bruno Bauer,Ludwig Feuerbach
Richard Wagner,Ludwig Feuerbach
Paul Feyerabend,John Stuart Mill
Paul Feyerabend,Gotthold Ephraim Lessing
Paul Feyerabend,Karl Popper
Paul Feyerabend,G. E. M. Anscombe
Paul Feyerabend,Ludwig Wittgenstein
Paul Feyerabend,Kierkegaard
Paul Feyerabend,Gaston Bachelard
Paul Feyerabend,Alexandre Koyr\xc3\xa9
Paul Feyerabend,Felix Ehrenhaft
Imre Lakatos,Paul Feyerabend
Paul Churchland,Paul Feyerabend
Deirdre McCloskey,Paul Feyerabend
Nancey Murphy,Paul Feyerabend
Ian Hacking,Paul Feyerabend
Michel Foucault,Paul Feyerabend
Thomas Kuhn,Paul Feyerabend
Laura Nader,Paul Feyerabend
Terence McKenna,Paul Feyerabend
Johann Gottlieb Fichte,Immanuel Kant
Johann Gottlieb Fichte,Salomon Maimon
Johann Gottlieb Fichte,Karl Leonhard Reinhold
Johann Gottlieb Fichte,Gottlob Ernst Schulze
Johann Gottlieb Fichte,Jean-Jacques Rousseau
Johann Gottlieb Fichte,Baruch Spinoza
Johann Gottlieb Fichte,Ernst Platner
Immanuel Hermann Fichte,Johann Gottlieb Fichte
Hegel,Johann Gottlieb Fichte
Dieter Henrich,Johann Gottlieb Fichte
Johann Friedrich Herbart,Johann Gottlieb Fichte
Novalis,Johann Gottlieb Fichte
F. W. J. Schelling,Johann Gottlieb Fichte
August Ludwig H\xc3\xbclsen,Johann Gottlieb Fichte
Jules Lequier,Johann Gottlieb Fichte
Karl August von Eschenmayer,Johann Gottlieb Fichte
Wilhelm von Humboldt,Johann Gottlieb Fichte
Friedrich Schleiermacher,Johann Gottlieb Fichte
Ludwig Tieck,Johann Gottlieb Fichte
Karl Wilhelm Ferdinand Solger,Johann Gottlieb Fichte
Kuno Fischer,Immanuel Kant
Kuno Fischer,Hegel
Gottlob Frege,Kuno Fischer
John Pentland Mahaffy,Kuno Fischer
Wilhelm Windelband,Kuno Fischer
Jerry Fodor,Hilary Putnam
Jerry Fodor,Sydney Morgenbesser
Jerry Fodor,Franz Joseph Gall
Jerry Fodor,Noam Chomsky
Jerry Fodor,David Hume
Ernest Lepore,Jerry Fodor
Zenon Pylyshyn,Jerry Fodor
Steven Pinker,Jerry Fodor
Philippa Foot,Ludwig Wittgenstein
Philippa Foot,G. E. M. Anscombe
Philippa Foot,Aristotle
Philippa Foot,Thomas Aquinas
Philippa Foot,Thomas Nagel
Bernard Williams,Philippa Foot
Candace Vogler,Philippa Foot
Michael Slote,Philippa Foot
John McDowell,Philippa Foot
Rosalind Hursthouse,Philippa Foot
Judith Jarvis Thomson,Philippa Foot
Michel Foucault,Louis Althusser
Michel Foucault,Antonin Artaud
Michel Foucault,Gaston Bachelard
Michel Foucault,Roland Barthes
Michel Foucault,Georges Bataille
Michel Foucault,Maurice Blanchot
Michel Foucault,Jorge Luis Borges
Michel Foucault,Georges Canguilhem
Michel Foucault,Georges Dum\xc3\xa9zil
Michel Foucault,Sigmund Freud
Michel Foucault,Erving Goffman
Michel Foucault,Hegel
Michel Foucault,Martin Heidegger
Michel Foucault,Jean Hyppolite
Michel Foucault,Immanuel Kant
Michel Foucault,Karl Marx
Michel Foucault,Maurice Merleau-Ponty
Michel Foucault,Friedrich Nietzsche
Michel Foucault,Marquis de Sade
Michel Foucault,Daniel Lagache
Michel Foucault,Gilles Deleuze
Edward Said,Michel Foucault
Pierre Bourdieu,Michel Foucault
Gilles Deleuze,Michel Foucault
David Halperin,Michel Foucault
Hubert Dreyfus,Michel Foucault
Paul Rabinow,Michel Foucault
Jacques Ranci\xc3\xa8re,Michel Foucault
F\xc3\xa9lix Guattari,Michel Foucault
Giorgio Agamben,Michel Foucault
Antonio Negri,Michel Foucault
Judith Butler,Michel Foucault
Ian Hacking,Michel Foucault
Talal Asad,Michel Foucault
Renata Salecl,Michel Foucault
Nikolas Rose,Michel Foucault
Jasbir Puar,Michel Foucault
Charles Fourier,Nicolas-Edme R\xc3\xa9tif
Pierre-Joseph Proudhon,Charles Fourier
Joseph D\xc3\xa9jacque,Charles Fourier
Karl Marx,Charles Fourier
Peter Kropotkin,Charles Fourier
Victor Prosper Considerant,Charles Fourier
Walter Benjamin,Charles Fourier
\xc3\x89mile Armand,Charles Fourier
Paul Goodman (writer),Charles Fourier
Andr\xc3\xa9 Breton,Charles Fourier
Herbert Marcuse,Charles Fourier
Raoul Vaneigem,Charles Fourier
Bob Black,Charles Fourier
Hakim Bey,Charles Fourier
David Harvey,Charles Fourier
Semyon Frank,Immanuel Kant
Semyon Frank,Plotinus
Semyon Frank,Hegel
Semyon Frank,Fyodor Dostoyevsky
Semyon Frank,Nicolaus Cusanus
Semyon Frank,Vladimir Solovyov (philosopher)
Semyon Frank,Friedrich Nietzsche
Semyon Frank,Nikolai Berdyaev
Nikolai Berdyaev,Semyon Frank
Harry Frankfurt,Descartes
Harry Frankfurt,Immanuel Kant
Harry Frankfurt,Ludwig Wittgenstein
Susan Wolf,Harry Frankfurt
J. David Velleman,Harry Frankfurt
Pamela Hieronymi,Harry Frankfurt
John Martin Fischer,Harry Frankfurt
Michael Frede,de:G\xc3\xbcnther Patzig
Michael Forster (philosopher) (page does not exist),Michael Frede
Gottlob Frege,Immanuel Kant
Gottlob Frege,Kuno Fischer
Gottlob Frege,Bruno Bauch
Gottlob Frege,Friedrich Adolf Trendelenburg
Gottlob Frege,Hermann Lotze
Gottlob Frege,Otto Liebmann
Gottlob Frege,Benno Kerry
Gottlob Frege,Ernst Abbe
Gottlob Frege,David Hume
Gottlob Frege,Gottfried Wilhelm Leibniz
Gottlob Frege,Bernard Bolzano
Giuseppe Peano,Gottlob Frege
Bertrand Russell,Gottlob Frege
Rudolf Carnap,Gottlob Frege
Ludwig Wittgenstein,Gottlob Frege
Michael Dummett,Gottlob Frege
Edmund Husserl,Gottlob Frege
Gershom Scholem,Gottlob Frege
Karl Popper,Gottlob Frege
Analytic philosophy,Gottlob Frege
Sigmund Freud,Franz Brentano
Sigmund Freud,Josef Breuer
Sigmund Freud,Jean Martin Charcot
Sigmund Freud,Charles Darwin
Sigmund Freud,Fyodor Dostoyevsky
Sigmund Freud,Empedocles
Sigmund Freud,Gustav Fechner
Sigmund Freud,Wilhelm Fliess
Sigmund Freud,Johann Wolfgang von Goethe
Sigmund Freud,Eduard von Hartmann
Sigmund Freud,Johann Friedrich Herbart
Sigmund Freud,Friedrich Nietzsche
Sigmund Freud,Plato
Sigmund Freud,Arthur Schopenhauer
Sigmund Freud,William Shakespeare
Sigmund Freud,Sophocles
List of psychoanalysts,Sigmund Freud
List of psychoanalytical theorists,Sigmund Freud
Jakob Friedrich Fries,Immanuel Kant
Jakob Friedrich Fries,Karl Leonhard Reinhold
Hermann Lotze,Jakob Friedrich Fries
Karl Popper,Jakob Friedrich Fries
Leonard Nelson,Jakob Friedrich Fries
Otto Fritz Meyerhof,Jakob Friedrich Fries
Hans-Georg Gadamer,Friedrich Wilhelm Joseph Schelling
Hans-Georg Gadamer,Plato
Hans-Georg Gadamer,Aristotle
Hans-Georg Gadamer,Augustine of Hippo
Hans-Georg Gadamer,Immanuel Kant
Hans-Georg Gadamer,Hegel
Hans-Georg Gadamer,Edmund Husserl
Hans-Georg Gadamer,Martin Heidegger
Hans-Georg Gadamer,Karl Jaspers
Babette Babich,Hans-Georg Gadamer
Wolfgang Drechsler,Hans-Georg Gadamer
J\xc3\xbcrgen Habermas,Hans-Georg Gadamer
Dieter Henrich,Hans-Georg Gadamer
Hans Robert Jauss,Hans-Georg Gadamer
Reinhart Koselleck,Hans-Georg Gadamer
Dennis J. Schmidt,Hans-Georg Gadamer
Gianni Vattimo,Hans-Georg Gadamer
Jean Grondin,Hans-Georg Gadamer
Pierre Gassendi,Aristotle
Pierre Gassendi,Epicureanism
Walter Charleton,Pierre Gassendi
Thomas Hobbes,Pierre Gassendi
John Locke,Pierre Gassendi
Gottfried Leibniz,Pierre Gassendi
David Gauthier,Thomas Hobbes
David Gauthier,John Locke
Peter Vallentyne,David Gauthier
Geoffrey Sayre-McCord,David Gauthier
Jan Narveson,David Gauthier
Peter Geach,Aristotle
Peter Geach,Thomas Aquinas
Peter Geach,Gotlob Frege
Peter Geach,Ludwig Wittgenstein
G. E. M. Anscombe,Peter Geach
Anthony Kenny,Peter Geach
Alasdair MacIntyre,Peter Geach
Michael Dummett,Peter Geach
C. J. F. Williams,Peter Geach
Giovanni Gentile,Plato
Giovanni Gentile,Giambattista Vico
Giovanni Gentile,Hegel
Giovanni Gentile,Vincenzo Gioberti
Giovanni Gentile,Antonio Rosmini-Serbati
Giovanni Gentile,Bertrando Spaventa
Giovanni Gentile,Giuseppe Mazzini
Giovanni Gentile,Pasquale Galluppi
Giovanni Gentile,Sigmund Freud
Giovanni Gentile,Charles Darwin
Giovanni Gentile,Karl Marx
Giovanni Gentile,Friedrich Nietzsche
Giovanni Gentile,Benedetto Croce
Giovanni Treccani,Giovanni Gentile
Ugo Spirito,Giovanni Gentile
Benedetto Croce,Giovanni Gentile
Benito Mussolini,Giovanni Gentile
Giuseppe Bottai,Giovanni Gentile
Luigi Federzoni,Giovanni Gentile
Margherita Sarfatti,Giovanni Gentile
A. James Gregor,Giovanni Gentile
Edmund Gettier,Roderick Chisholm
Robert Nozick,Edmund Gettier
Colin McGinn,Edmund Gettier
\xc3\x89tienne Gilson,Aristotle
\xc3\x89tienne Gilson,Augustine of Hippo
\xc3\x89tienne Gilson,Bonaventure
\xc3\x89tienne Gilson,Thomas Aquinas
\xc3\x89tienne Gilson,Dante
\xc3\x89tienne Gilson,Duns Scotus
\xc3\x89tienne Gilson,Auguste Comte
Jacques Maritain,\xc3\x89tienne Gilson
Richard McKeon,\xc3\x89tienne Gilson
John F. X. Knasas,\xc3\x89tienne Gilson
Norman Geisler,\xc3\x89tienne Gilson
Paul Weiss (philosopher),\xc3\x89tienne Gilson
Henry Corbin,\xc3\x89tienne Gilson
Second Vatican Council,\xc3\x89tienne Gilson
Thomas Merton,\xc3\x89tienne Gilson
Percy Bysshe Shelley,William Godwin
Nelson Goodman,Immanuel Kant
Nelson Goodman,David Hume
Nelson Goodman,W. V. O. Quine
Nelson Goodman,Carl G. Hempel
Nelson Goodman,Rudolf Carnap
Nelson Goodman,Clarence Irving Lewis
W. V. O. Quine,Nelson Goodman
Noam Chomsky,Nelson Goodman
Hilary Putnam,Nelson Goodman
Jerry Fodor,Nelson Goodman
Stanley Cavell,Nelson Goodman
Israel Scheffler,Nelson Goodman
Arthur Danto,Nelson Goodman
Kendall Walton,Nelson Goodman
Sidney Morgenbesser,Nelson Goodman
Catherine Elgin,Nelson Goodman
Gorgias,Empedocles
Gorgias,Parmenides
Gorgias,Zeno of Elea
Plato,Gorgias
Antisthenes,Gorgias
Pericles,Gorgias
Baltasar Graci\xc3\xa1n,Seneca the Younger
Baltasar Graci\xc3\xa1n,Epictetus
Baltasar Graci\xc3\xa1n,Plutarch
Baltasar Graci\xc3\xa1n,Publilius Syrus
Baltasar Graci\xc3\xa1n,Desiderius Erasmus
Arthur Schopenhauer,Baltasar Graci\xc3\xa1n
Friedrich Nietzsche,Baltasar Graci\xc3\xa1n
Antonio Gramsci,Karl Marx
Antonio Gramsci,Friedrich Engels
Antonio Gramsci,Charles Darwin
Antonio Gramsci,Sigmund Freud
Antonio Gramsci,Friedrich Nietzsche
Antonio Gramsci,Niccol\xc3\xb2 Machiavelli
Antonio Gramsci,Vladimir Lenin
Antonio Gramsci,Antonio Labriola
Antonio Gramsci,Georges Sorel
Antonio Gramsci,Benedetto Croce
Antonio Gramsci,Giovanni Gentile
Antonio Gramsci,Daniel De Leon
Antonio Gramsci,Giambattista Vico
Stuart Hall (cultural theorist),Antonio Gramsci
Eric Hobsbawm,Antonio Gramsci
E. P. Thompson,Antonio Gramsci
Carlo Rosselli,Antonio Gramsci
Pier Paolo Pasolini,Antonio Gramsci
Piero Gobetti,Antonio Gramsci
Ernesto Laclau,Antonio Gramsci
Chantal Mouffe,Antonio Gramsci
Edward Said,Antonio Gramsci
Raymond Williams,Antonio Gramsci
N\xc3\xa9stor Garc\xc3\xada Canclini,Antonio Gramsci
Giovanni Arrighi,Antonio Gramsci
Louis Althusser,Antonio Gramsci
Alex Callinicos,Antonio Gramsci
Nicos Poulantzas,Antonio Gramsci
Gayatri Spivak,Antonio Gramsci
Nick Srnicek,Antonio Gramsci
Pierre Bourdieu,Antonio Gramsci
Alain de Benoist,Antonio Gramsci
Nouvelle Droite,Antonio Gramsci
Thomas Hill Green,Immanuel Kant
Thomas Hill Green,Hegel
Thomas Hill Green,Benjamin Jowett
F. H. Bradley,Thomas Hill Green
Samuel Alexander,Thomas Hill Green
John Dewey,Thomas Hill Green
Leonard Trelawny Hobhouse,Thomas Hill Green
Hastings Rashdall,Thomas Hill Green
John Cook Wilson,Thomas Hill Green
